P98	237.2982	259.3266	240.325	156.2053	166.1753	179.2419
P99	183.2537	227.2832	212.6128	168.216	220.2475	225.2688
P100	242.2993	168.259	263.2924	157.1933	170.1391	275.3461
P101	191.2095	182.2657	269.0778	183.0156	126.1793	197.2373
P102	269.3247	231.1015	248.6912	241.0644	154.1134	206.2444
P103	231.3165	263.2904	183.2107	248.2609	168.2391	217.2468
P104	233.3095	251.3476	249.2456	166.2431	240.2988	259.3497
P105	190.2645	140.123	278.3497	207.2089	245.3385	154.2324
P106	185.205	180.2018	261.0844	195.1734	271.3144	269.3247
P107	271.0904	129.1402	213.6008	227.0809	270.3263	260.2898
P108	192.2804	249.2856	169.2471	245.3431	221.3186	152.1768
P109	157.1933	262.3076	206.2209	231.3165	284.396	204.2697
P110	217.2899	213.275	183.2306	218.2734	273.2543	214.0423
P111	213.6008	219.2627	164.1842	169.204	183.2309	178.1677
P112	232.2366	152.1506	198.2419	257.3276	244.3321	165.1643
P113	141.1509	219.2829	204.2252	280.3427	205.2113	227.2618
P114	159.1677	195.2582	246.288	284.2769	184.1657	251.2454
P115	176.238	263.2924	247.1352	276.3971	224.2775	248.2017
P116	301.7722	222.2835	285.3176	249.3287	259.322	223.3146
P117	266.339	267.3639	182.1597	321.4146	140.123	167.205
P118	319.7626	281.3938	231.1015	209.2848	243.2081	277.319
P119	134.1582	257.3492	130.1249	230.3055	283.3251	220.2709
P120	234.274	235.2823	118.7596	273.3534	288.3632	205.2563
P121	247.248	242.1803	165.2322	217.2468	212.227	203.0483
P122	258.3372	209.2231	225.3106	307.391	219.2829	182.6299
P123	190.2645	189.1937	265.1793	242.2993	259.3037	253.2509
P124	285.2617	191.2095	236.3332	273.3548	260.3348	170.2152
P125	192.1714	252.3125	246.3082	231.3165	208.2139	227.0809
P126	301.3155	168.6033	232.2783	192.1943	217.2853	169.204
P127	206.2411	178.2108	211.2609	205.2577	247.293	235.2621
P128	230.3055	253.3005	210.2298	160.1955	215.2511	182.1965
P129	231.3119	302.4112	251.7349	208.2569	277.362	308.3776
P130	232.2999	259.3004	238.3091	271.2613	212.2719	226.2738
P131	217.2899	198.2191	166.1603	233.3095	303.3066	276.3061
P132	140.0868	260.3146	177.226	265.3513	140.2059	243.3226
P133	237.7084	326.3136	271.2613	252.3095	261.2994	275.3891
P134	231.3165	236.2902	301.3635	313.1472	261.2994	219.2365
P135	259.3497	257.1916	233.3095	273.2543	192.2178	192.2178
P136	243.301	203.2587	127.1674	301.3404	249.2456	207.2689
P137	306.6944	212.2685	183.2306	141.1509	231.2965	172.2047
P138	237.2551	264.3232	226.2738	126.0998	196.6564	273.1415
P139	233.2664	180.179	208.303	171.2199	233.2462	167.1451
P140	215.1718	179.1909	285.2031	173.1943	234.231	198.2419
P141	244.289	140.2059	258.2908	143.1667	219.2829	250.6278
P142	318.2156	126.1793	272.3253	193.1824	166.1772	233.3124
P143	274.315	205.2395	244.289	207.2321	258.3156	153.2046
P144	180.2697	228.3125	194.2535	230.2391	239.3107	198.1923
P145	240.3003	250.3598	191.1834	302.3251	238.3323	250.2688
P146	181.2578	219.2829	217.2899	207.2291	218.2746	193.2025
P147	217.2468	234.2975	191.2095	197.2741	250.318	328.3624
P148	167.1881	313.3908	197.1462	233.2893	138.19	279.2918
P149	215.1718	219.2829	143.1667	273.2543	217.2899	345.4161
P150	251.735	205.2563	203.2633	290.3046	294.351	287.2808
P151	216.3018	231.2903	169.5913	241.2884	272.3638	243.301
P152	261.3225	241.2884	155.2006	241.2884	194.1772	220.2475
P153	245.3231	195.1734	249.332	182.6299	168.1931	256.306
P154	195.2582	192.1943	221.2988	209.2231	283.3251	231.3165
P155	196.2462	205.2361	205.2961	219.2412	324.301	235.3052
P156	252.3326	259.3066	246.3082	303.308	204.2514	162.1683
P157	182.2657	270.2846	228.2466	221.1925	152.1506	235.219
P158	143.1667	256.079	307.3351	220.3137	176.238	191.2327
P159	272.3638	281.3552	201.2245	267.3486	142.1787	227.2632
P160	211.2576	202.2752	219.2829	162.2114	206.307	206.2209
